Street Name,dia,hora,Current Speed (km/h)
Alfonso Reyes,2024-10-01,20,15.093873224507101
Alfonso Reyes,2024-10-01,21,14.738242179187061
Amsterdam,2024-09-12,19,14.198894312393888
Amsterdam,2024-09-12,20,13.975510211425966
Amsterdam,2024-09-12,21,13.947084156609089
Amsterdam,2024-09-12,22,17.018109597251033
Amsterdam,2024-09-12,23,16.94152047879647
Amsterdam,2024-09-13,0,16.990705761850165
Amsterdam,2024-09-13,1,18.173295241521448
Amsterdam,2024-09-13,2,17.49716428735897
Amsterdam,2024-09-13,3,19.016848776223778
Amsterdam,2024-09-13,4,17.310514947393052
Amsterdam,2024-09-13,5,16.637507621280502
Amsterdam,2024-09-13,6,15.870493972208344
Amsterdam,2024-09-13,7,14.383996665169462
Amsterdam,2024-09-13,8,15.964757392994372
Amsterdam,2024-09-13,9,15.884853313626648
Amsterdam,2024-09-13,10,14.603265628216008
Amsterdam,2024-09-13,11,14.965367039377735
Amsterdam,2024-09-13,12,14.494920976934555
Amsterdam,2024-09-13,13,14.849833012852951
Amsterdam,2024-09-13,14,14.91222824994977
Amsterdam,2024-09-13,15,15.722159691835465
Amsterdam,2024-09-13,16,14.958465635728592
Amsterdam,2024-09-13,17,14.007911968098657
Amsterdam,2024-09-13,18,11.955358820439004
Amsterdam,2024-09-13,19,12.248680717604952
Amsterdam,2024-09-13,20,10.975774702118926
Amsterdam,2024-09-13,21,14.536115856880752
Amsterdam,2024-09-13,22,14.988822165293685
Amsterdam,2024-09-13,23,16.568464866988517
Amsterdam,2024-09-14,0,15.92527257602039
Amsterdam,2024-09-14,1,16.761627906976745
Amsterdam,2024-09-14,2,16.377885514534345
Amsterdam,2024-09-14,3,18.406223672577823
Amsterdam,2024-09-14,4,18.92451753152654
Amsterdam,2024-09-14,5,17.712273466010647
Amsterdam,2024-09-14,6,15.125384539888671
Amsterdam,2024-09-14,7,15.759967431185656
Amsterdam,2024-09-14,8,16.627387378831237
Amsterdam,2024-09-14,9,14.551911830859199
Amsterdam,2024-09-14,10,14.024237254556661
Amsterdam,2024-09-14,11,13.904011777695988
Amsterdam,2024-09-14,12,14.258624564429002
Amsterdam,2024-09-14,13,14.194855288359225
Amsterdam,2024-09-14,14,14.12873297844774
Amsterdam,2024-09-14,15,15.11669378785184
Amsterdam,2024-09-14,16,14.330640327179838
Amsterdam,2024-09-14,17,13.989121160223975
Amsterdam,2024-09-14,18,14.278619946290647
Amsterdam,2024-09-14,19,14.774517431816875
Amsterdam,2024-09-14,20,14.945252969578483
Amsterdam,2024-09-14,21,14.668645290819263
Amsterdam,2024-09-14,22,14.996579909859962
Amsterdam,2024-09-14,23,16.426910783133692
Amsterdam,2024-09-15,0,17.29179195784551
Amsterdam,2024-09-15,1,16.57171319682563
Amsterdam,2024-09-15,2,17.88883490427961
Amsterdam,2024-09-15,3,16.708772523898354
Amsterdam,2024-09-15,4,16.54226355952016
Amsterdam,2024-09-15,5,16.118183066783732
Amsterdam,2024-09-15,6,16.57495032340116
Amsterdam,2024-09-15,7,16.193161097986078
